date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:54	9140/9140	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Nov%202021%2019:35:54%20GMT	https://store.rg-adguard.net/	websites/microsoft-store/store.rg-adguard.net/index.html	(from )
16:35:54	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2219-571808921ce80%22	https://store.rg-adguard.net/robots.txt		(from )
16:35:54	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-571808921ce80%22	https://store.rg-adguard.net/favicon.ico	websites/microsoft-store/store.rg-adguard.net/favicon.ico	(from https://store.rg-adguard.net/)
16:35:55	1003/1003	---MCZ	200	added ('OK')	text/css	etag:W/%225b537792-3eb%22	https://store.rg-adguard.net/css/main.css	websites/microsoft-store/store.rg-adguard.net/css/main.css	(from https://store.rg-adguard.net/)
16:35:55	5800/5800	---MCZ	200	added ('OK')	text/css	etag:W/%225b53779c-16a8%22	https://store.rg-adguard.net/css/loader.css	websites/microsoft-store/store.rg-adguard.net/css/loader.css	(from https://store.rg-adguard.net/)
16:35:55	512/512	---M--	200	added ('OK')	image/png	etag:%225b5315ea-200%22	https://store.rg-adguard.net/img/Store.png	websites/microsoft-store/store.rg-adguard.net/img/Store.png	(from https://store.rg-adguard.net/)
16:35:56	94840/94840	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b5315ea-17278%22	https://store.rg-adguard.net/js/jquery.js	websites/microsoft-store/store.rg-adguard.net/js/jquery.js	(from https://store.rg-adguard.net/)
16:35:56	3983/3983	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Nov%202021%2019:35:56%20GMT	https://store.rg-adguard.net/POST	websites/microsoft-store/store.rg-adguard.net/POST	(from https://store.rg-adguard.net/)
16:35:57	133412/133412	---M--	200	added ('OK')	image/jpeg	etag:%225b5315ea-20924%22	https://store.rg-adguard.net/img/body.jpg	websites/microsoft-store/store.rg-adguard.net/img/body.jpg	(from https://store.rg-adguard.net/css/main.css)
